id,providerid,locationid,createdby,createdDate,changedby,changedDate,deletedby,isdeleted,CreatedUserType,ChangedUserType
394,183,116,4,2015-10-05 07:23:53.577,0,2015-10-05 07:23:48.260,0,0,Users,
407,195,116,4,2015-10-15 03:54:05.203,0,2015-10-15 03:53:59.623,0,0,Users,
408,196,116,4,2015-10-15 04:01:43.707,0,2015-10-15 04:01:38.123,0,0,Users,
409,197,116,4,2015-10-15 04:06:32.430,0,2015-10-15 04:06:26.843,0,0,Users,
410,198,116,4,2015-10-15 04:12:18.987,0,2015-10-15 04:12:13.410,0,0,Users,
411,199,116,4,2015-10-15 04:25:51.387,0,2015-10-15 04:25:45.807,0,0,Users,
412,200,116,4,2015-10-15 04:28:42.597,0,2015-10-15 04:28:37.010,0,0,Users,
413,201,116,4,2015-10-15 04:30:51.143,0,2015-10-15 04:30:45.547,0,0,Users,
414,202,116,4,2015-10-15 04:32:35.007,0,2015-10-15 04:32:29.410,0,0,Users,
468,256,116,4,2015-10-17 08:23:11.833,0,2015-10-17 08:23:04.883,0,0,Users,
485,272,116,4,2015-11-07 00:32:53.567,0,2015-11-07 00:32:45.030,0,0,Users,
486,273,116,4,2015-11-07 00:41:07.153,0,2015-11-07 00:40:58.397,0,0,Users,
487,274,116,4,2015-11-07 00:48:04.703,0,2015-11-07 00:47:55.943,0,0,Users,
488,275,116,4,2015-11-07 00:53:03.350,0,2015-11-07 00:52:54.580,0,0,Users,
489,276,116,4,2015-11-07 00:57:21.920,0,2015-11-07 00:57:13.160,0,0,Users,
490,277,116,4,2015-11-07 01:02:49.160,0,2015-11-07 01:02:40.397,0,0,Users,
491,278,116,4,2015-11-07 01:08:13.207,0,2015-11-07 01:08:04.427,0,0,Users,
492,279,116,4,2015-11-07 01:10:46.147,0,2015-11-07 01:10:37.373,0,0,Users,
493,280,116,4,2015-11-07 01:13:34.690,0,2015-11-07 01:13:25.910,0,0,Users,
494,281,116,4,2015-11-07 01:28:53.687,0,2015-11-07 01:28:44.907,0,0,Users,
496,283,116,4,2015-11-07 02:15:51.660,0,2015-11-07 02:15:42.867,0,0,Users,
501,288,116,4,2015-11-09 01:24:02.740,0,2015-11-09 01:23:56.653,0,0,Users,
504,291,116,4,2015-11-09 05:33:23.913,0,2015-11-09 05:33:17.597,0,0,Users,
505,292,116,4,2015-11-10 22:58:28.117,0,2015-11-10 22:58:20.707,0,0,Users,
507,294,116,4,2015-11-10 23:17:12.473,0,2015-11-10 23:17:05.053,0,0,Users,
530,317,116,4,2015-11-18 02:30:04.730,0,2015-11-18 02:29:56.627,0,0,Users,
537,324,116,4,2015-11-19 06:24:25.787,0,2015-11-19 06:24:16.930,0,0,Users,
553,340,116,416,2015-12-11 23:47:58.833,0,2015-12-11 23:47:54.050,0,0,Users,
555,342,116,416,2015-12-12 02:20:20.993,0,2015-12-12 02:20:16.073,0,0,Users,
562,349,116,4,2016-01-04 05:53:44.337,0,2016-01-04 05:53:18.713,0,0,Users,
589,359,116,4,2016-03-18 08:29:10.247,0,2016-03-18 08:29:10.610,0,0,Users,
596,366,116,4,2016-03-24 00:17:02.620,0,2016-03-24 00:17:03.253,0,0,Users,
610,378,116,4,2016-04-13 07:56:49.443,0,2016-04-13 07:56:33.223,0,0,Users,
619,386,116,4,2016-05-09 00:43:24.397,0,2016-05-09 00:42:39.057,0,0,Users,
628,395,116,4,2016-05-10 07:14:18.323,0,2016-05-10 07:13:31.670,0,0,Users,
640,407,116,4,2016-06-22 02:11:02.607,0,2016-06-22 02:11:05.350,0,0,Users,
641,408,116,4,2016-06-22 02:13:41.867,0,2016-06-22 02:13:44.620,0,0,Users,
671,438,116,3,2017-02-02 19:02:39.753,0,2017-02-02 19:02:39.733,0,0,Users,
678,445,116,3,2017-02-15 17:37:37.433,0,2017-02-15 17:37:36.900,0,0,Users,
701,197,134,3,2017-06-16 07:57:21.487,0,2017-06-16 07:57:20.800,0,0,Users,
702,408,134,3,2017-06-16 07:58:05.697,0,2017-06-16 07:58:05.000,0,0,Users,
703,200,134,3,2017-06-16 07:58:20.033,0,2017-06-16 07:58:19.350,0,0,Users,
704,438,134,3,2017-06-16 07:58:24.557,0,2017-06-16 07:58:23.867,0,0,Users,
705,198,134,3,2017-06-16 07:59:11.670,0,2017-06-16 07:59:10.970,0,0,Users,
706,378,134,3,2017-06-16 07:59:15.430,0,2017-06-16 07:59:14.730,0,0,Users,
707,445,134,3,2017-06-16 07:59:19.453,0,2017-06-16 07:59:18.767,0,0,Users,
708,324,134,3,2017-06-16 07:59:22.963,0,2017-06-16 07:59:22.267,0,0,Users,
709,317,134,3,2017-06-16 07:59:26.427,0,2017-06-16 07:59:25.740,0,0,Users,
710,201,134,3,2017-06-16 07:59:29.970,0,2017-06-16 07:59:29.273,0,0,Users,
711,202,134,3,2017-06-16 07:59:33.527,0,2017-06-16 07:59:32.827,0,0,Users,
712,183,134,3,2017-06-16 07:59:37.177,0,2017-06-16 07:59:36.480,0,0,Users,
713,199,134,3,2017-06-16 07:59:53.760,0,2017-06-16 07:59:53.073,0,0,Users,
714,386,134,3,2017-06-16 08:00:00.450,0,2017-06-16 07:59:59.763,0,0,Users,
715,195,134,734,2017-06-19 08:13:03.437,0,2017-06-19 08:13:05.177,0,0,Users,
